# Time series of US dollars raised by Jill Stein's recount fundraiser for the
# 2016 US presidential election.
#
# MINUTES = time datum scraped, in minutes elapsed after the first datum
# DOLLARS = US dollars raised, as scraped from her campaign's website
MINUTES	DOLLARS
1071.63	3098522.09
1073.22	3102215.09
1075.12	3105457.09
1077.02	3110319.09
1078.97	3114961.09
1080.78	3126298.09
1082.75	3129714
1084.68	3134686
1086.55	3138256
1088.42	3150496.5
1090.28	3157283.98
1092.02	3161883.48
1093.85	3166003
1095.63	3172443.5
1097.62	3178239.02
1099.27	3185138.02
1101.18	3190770.02
1102.9	3198303.52
1104.9	3204513.52
1106.73	3210329.35
1108.67	3217426.83
1110.4	3222272.83
1112.35	3225453.83
1114.27	3231187.6
1116.18	3239491.6
1117.73	3243047
1119.28	3250194
1121	3253094
1122.82	3258500.11
1124.65	3266698.31
1126.25	3272337.31
1128.15	3279407.5
1129.92	3286453.66
1131.9	3294392.31
1133.83	3299928.07
1135.67	3304994.76
1137.3	3310164.76
1138.9	3314791.76
1140.55	3320717.76
1142.33	3324333.76
1143.95	3332379.76
1145.8	3337186.76
1147.68	3349014.76
1149.45	3352405.76
1150.98	3358070.76
1152.58	3361405.76
1154.57	3369004.87
1156.27	3373667.07
1157.88	3376823.07
1159.52	3382387.07
1161.15	3388196
1162.88	3393809
1164.57	3400767
1166.43	3403627
1168.3	3409898
1169.87	3414341
1171.53	3421481.5
1173.45	3425660.5
1174.98	3433636.39
1176.68	3437178.89
1178.65	3447728.89
1180.38	3455935.89
1182.03	3461494.89
1184	3468629.89
1185.82	3476390.89
1187.5	3480021.89
1189.27	3484188
1191	3489585
1192.7	3498495
1194.55	3503567
1196.5	3510904
1198.38	3515788
1199.92	3520608
1201.73	3528289
1203.63	3536453
1205.4	3538980
1207.3	3543766.88
1209.2	3547422.88
1210.97	3552094.88
1212.58	3556365.88
1214.2	3559452.88
1216.03	3565087.88
1217.82	3569973.88
1219.68	3574791.49
1221.23	3581209.49
1222.78	3586023.65
1224.38	3589334.65
1226.37	3593989.65
1228	3598496.65
1229.53	3600294.65
1231.43	3607824
1233	3608983
1234.77	3613816.69
1236.3	3621672.69
1237.83	3629087.69
1239.68	3632558.69
1241.37	3637679.85
1242.92	3640941.85
1244.9	3645633.96
1246.63	3653916.96
1248.28	3660228.96
1249.97	3664354.96
1251.6	3671548.96
1253.2	3678882.96
1254.92	3691729.96
1256.58	3694680.96
1258.22	3698872
1260.2	3708823
1262.03	3713692
1263.75	3716945.16
1265.52	3720724.16
1267.07	3724446.16
1268.97	3732681.16
1270.88	3735230.32
1272.82	3740733.32
1274.68	3744645.32
1276.57	3749583.32
1278.63	3756022.32
1280.65	3761666.32
1282.78	3765931.32
1284.72	3770808.32
1286.53	3772250
1288.53	3776620
