AreaCode	MeanAge	SexRatPc	L4QualPc	FTStudPc	UKBo11Pc	LTUPc	T15	UKBoChPc	RVS
"E08000029"	41.3	48.5557	28.5	3.1	92.5554	1.6831	67.1624	-1.8797	43.84
"E08000030"	38.8	49.1302	16.9	3.8	90.1104	3.0442	60.6128	-3.0821	32.14
"E08000031"	38.5	49.4813	19.5	5.6	83.6101	3.4648	59.9787	-5.1583	37.43
"E08000032"	36.2	49.2164	21.8	5.6	82.8484	2.2913	65.8537	-5.3543	45.77
"E08000033"	39.6	48.8785	25	3.2	92.525	2.0226	65.6434	-1.8005	44.32
"E08000034"	38.4	49.3912	23.9	5.5	89.1973	1.9043	65.8282	-3.0033	45.33
"E08000035"	37.6	48.9611	26.9	9.7	88.5368	1.9356	65.2943	-4.8166	50.31
"E08000036"	40.2	49.0776	18.3	2.4	94.6087	1.8656	58.9227	-2.8717	33.64
"E08000037"	40.5	48.9346	21.5	3.9	95.0738	1.9692	63.227	-2.4298	43.15
"E09000001"	41.4	55.4712	68.4	6.2	63.322	1.0306	59.3275	-9.3231	75.29
"E09000002"	33.4	48.5377	20.9	7.2	69.0997	3.127	59.4854	-19.4269	37.56
"E09000003"	36.8	48.452	40.3	7.3	61.1388	1.713	67.9907	-8.3345	62.23
"E09000004"	38.8	48.1368	21.8	4.5	85.9352	1.7153	67.2892	-5.9312	37.05
"E09000005"	35	50.2765	33.3	9.1	44.9169	2.1482	63.3362	-8.5519	59.74
"E09000006"	39.9	48.0258	33.1	3.4	85.5381	1.5822	69.9707	-4.4789	50.65
"E09000007"	35.7	48.9634	50.5	13.6	57.5003	1.7649	64.5578	-5.7241	74.94
"E09000008"	36.4	48.4961	31.8	5.9	70.4209	2.2068	66.7047	-7.8369	54.29
"E09000009"	35.4	49.9854	37	7.6	51.7718	2.0177	67.6714	-10.9537	60.4
"E09000010"	35.9	48.2145	28.7	7	64.9248	2.3489	66.9545	-10.0093	55.82
"E09000011"	34.6	49.5858	33.2	8.8	69.0003	2.4137	64.4487	-12.9589	55.59
"E09000012"	32.4	49.5509	41.8	9	60.9209	2.8732	56.299	-4.6631	78.48
"E09000013"	34.7	48.7219	49.6	9	57.2373	1.8605	65.4592	-9.2174	70.02
"E09000014"	34.2	49.514	40.8	8.5	55.3996	2.2583	66.873	-7.5425	75.57
"E09000015"	37.6	49.3704	36.8	6.8	55.2201	1.6812	68.3925	-11.6999	54.63
"E09000016"	40.4	48.1423	19.4	3.4	89.7181	1.8074	67.5316	-4.6667	30.34
"E09000017"	36.4	49.5776	28	8.9	70.0379	1.7501	63.4101	-12.0922	43.63
"E09000018"	35.2	50.1648	34.6	7.4	56.7198	1.7438	63.9504	-13.6562	51.06
"E09000019"	34.5	49.1959	48.1	10.7	64.57	2.1738	66.1025	-5.7003	75.22
"E09000020"	37.8	49.2874	52.7	8.3	48.3697	1.8227	59.1578	-7.1661	68.69
"E09000021"	37	48.7961	41.4	10.2	71.7356	1.2192	74.0711	-8.6179	61.61
"E09000022"	33.7	49.7948	46.6	7.7	61.15	2.4498	61.8841	-7.5939	78.62
"E09000023"	34.6	48.9178	38	8.5	66.2591	2.4552	64.8275	-9.8358	69.86
"E09000024"	36.3	49.3332	41.1	6	62.2405	1.5461	69.6539	-11.5185	62.94
"E09000025"	31.3	52.0598	30.1	14.9	46.2914	2.4686	59.0281	-15.6059	52.84
"E09000026"	35.6	49.4939	33.9	7.6	63.0523	2.0642	61.4387	-12.7462	53.97
"E09000027"	38.3	48.7454	53	4.9	75.718	1.1322	77.0003	-4.7938	69.29
"E09000028"	33.7	49.4715	43.1	11.5	60.571	2.4257	62.9692	-9.1067	72.81
"E09000029"	38.3	48.6169	30.1	3.7	80.1437	1.5536	70.0515	-8.0142	46.28
"E09000030"	30.9	51.5183	41	12.1	56.932	2.5367	63.0843	-8.4046	67.46
"E09000031"	34.4	49.9402	30	8.3	61.3505	2.3343	63.3642	-13.445	59.1
"E09000032"	34.5	48.4197	53.6	6.8	64.6336	1.4737	67.9715	-8.4288	75.03
"E09000033"	36.7	50.8432	50.3	10	46.6768	1.7766	62.0479	-9.204	68.97
"N06000001"	39.7	47.8047	27.4	4	93.0417	1.8452	62.8307	-3.519	48.6048
"N06000002"	38.2	47.8948	18.7	4.6	94.2778	2.8399	59.214	-2.8002	50.3552
"N06000003"	36.8	48.6544	39	14.5	87.5559	1.6089	60.0012	-4.4532	69.4856
"N06000004"	35.5	47.3815	15	6	96.1143	3.0805	56.3488	-0.7065	74.0566
"N06000005"	39	48.6549	23.9	6	95.8997	1.8421	53.3298	-1.0812	44.8092
"N06000006"	38.1	49.4025	22.2	6.7	95.111	2.6009	51.8692	-0.8793	52.0257
"N06000007"	37.3	50.1273	21.2	4.3	87.7263	2.1095	72.5509	-5.5698	58.5572
"N06000008"	35.8	48.6831	21.8	6.9	92.7465	3.6897	52.8328	-0.5694	78.2641
"N06000009"	38.6	49.184	28.1	4.1	94.4184	1.4643	55.9296	-2.0624	46.9079
"N06000010"	35.5	50.0247	20.5	5.5	94.671	2.0673	60.3285	-3.0203	60.39
"N06000011"	36.4	49.6704	21.3	4.8	90.3933	2.8073	64.2472	-3.6987	62.9429
"N06000012"	38.8	49.2196	20.9	4	95.4347	2.056	55.2309	-2.3452	37.7755
"N06000013"	41	48.1329	30.3	3.8	94.6032	1.6463	55.9861	-0.9409	52.3598
"N06000014"	37	48.9671	24.3	4.2	95.0916	1.4724	54.1683	-2.0307	49.3605
"N06000015"	36.7	49.7643	23.9	4.8	94.4595	2.1963	56.7628	-1.9486	67.2439
"N06000016"	39.6	48.9225	23.1	4	96.2157	1.7616	52.768	-0.9643	44.4716
"N06000017"	36.7	49.2162	21.5	4.5	92.4532	2.2594	58.9795	-4.582	47.3828
"N06000018"	36.8	49.8898	20.2	4.7	93.1973	2.8378	60.5331	-1.5285	66.8473
"S12000005"	40.2	48.8103	21.9	3.1	95.8322	2.3523	74.7977	-1.7217	57.78
"S12000006"	43.6	48.5085	21.5	2.1	96.5313	1.6102	75.4308	-0.9769	53.06
"S12000008"	40.9	48.3754	17.9	3.7	97.7404	2.4462	71.5967	-0.6245	58.6
"S12000010"	41	48.0089	27	3.8	94.6819	1.4227	74.2492	-2.341	64.6
"S12000011"	41	47.6572	35.2	5.4	95.1907	1.3064	81.0637	-0.9923	74.32
"S12000013"	43.7	49.3715	26.4	2.1	97.0958	1.6556	73.2142	-0.8553	55.24
"S12000014"	40.1	48.8172	20.2	3	96.3741	2.0418	71.8432	-1.5879	56.76
"S12000015"	40.8	48.4513	23.8	5.6	94.3338	2.0827	70.5633	-2.3425	58.59
"S12000017"	41.9	48.8821	26.4	2	94.3256	1.3721	74.4947	-2.5813	55.95
"S12000018"	41.5	47.8603	19.7	4.7	97.3872	1.8097	75.1592	-0.1699	63.8
"S12000019"	40.4	48.1698	21.1	3	95.9717	1.5574	71.2059	-1.3992	62.06
"S12000020"	41.2	49.2427	22.7	2.3	94.7661	1.2995	68.7452	-1.5486	50.13
"S12000021"	41.6	47.6337	19.6	3.9	97.5055	2.9732	71.5297	-0.3342	56.88
"S12000023"	42.6	49.4918	26.5	1.5	96.679	0.8092	65.7791	-1.2114	63.16
"S12000024"	42.6	48.716	30.4	2.9	93.0263	1.0721	74.7998	-2.9692	61.09
"S12000026"	43.5	48.4412	27	2.6	94.7677	1.4774	74.6236	-2.3193	58.47
"S12000027"	40.1	50.7662	26.6	1.5	94.9411	0.6975	65.7791	-2.3347	56.51
"S12000028"	43.5	47.6352	25.1	3.6	96.5984	1.8967	72.008	-0.8324	58.96
"S12000029"	40.7	48.07	22	3.8	96.6068	1.9823	70.9719	-1.3513	63.08
"S12000030"	40.2	47.913	33.3	9.4	92.9128	1.4709	77.5403	-2.7514	67.72
"S12000033"	38.7	49.4279	33.2	11.9	84.0947	1.0522	69.2702	-9.6524	61.1
"S12000034"	40.4	49.5187	27	2.7	94.0519	0.8598	71.4746	-2.8067	55.01
"S12000035"	43.9	48.9304	28.9	2.1	95.1206	1.5378	75.3292	-1.413	60.57
"S12000036"	38.5	48.7519	41.4	12.3	84.1179	1.4364	72.9186	-7.541	74.44
"S12000038"	40.6	48.0876	23.1	5	95.7143	2.0317	75.8415	-1.7381	64.81
"S12000039"	40.3	47.6003	16.5	4.1	96.8651	2.6655	73.8946	-0.7403	61.99
"S12000040"	38.2	48.8562	21.5	3.2	94.3844	1.7618	70.1988	-2.7532	58.25
"S12000041"	42.4	48.4626	23.6	3.3	95.5026	1.5882	68.5437	-1.7825	55.26
"S12000042"	39.3	48.0118	24.8	13	91.0008	2.4084	69.4577	-4.0577	59.78
"S12000044"	39	48.3769	17.2	3.9	96.9994	2.4194	68.672	-1.291	61.66
"S12000045"	42.2	48.1624	34.8	5	95.7068	1.305	70.7959	-0.6274	71.4
"S12000046"	38	48.2222	25.9	10.8	87.761	2.6691	62.5952	-6.582	66.59
"W06000001"	43.4	49.1376	26.1	3.4	96.5492	2.0819	69.9373	-0.8445	49.06
"W06000002"	41.6	49.154	26.4	8.9	95.1466	1.3879	65.6763	-2.1712	58.05
"W06000003"	44.6	48.3815	25.5	3.1	95.6998	1.7569	65.6833	-1.0418	46.02
"W06000004"	42.4	49.0612	24.2	3.4	95.8585	1.6416	63.3638	-1.4079	46
"W06000005"	40.6	49.3404	22.4	2.9	95.7851	1.4431	68.1086	-1.6751	43.63
"W06000006"	39.8	49.7256	22.8	4.3	93.7202	1.7124	64.0222	-3.8451	40.96
"W06000008"	41.7	49.7787	27.9	15.3	93.9807	1.0208	68.9798	-2.3791	54.63
